antecedents,consequents,support,confidence,lift
"frozenset({'Fashion', 'Beauty'})",frozenset({'Sports'}),0.0542,0.46245733788395904,1.3085946176682486
"frozenset({'Food', 'Electronics'})",frozenset({'Sports'}),0.054,0.45608108108108103,1.2905520121139815
"frozenset({'Fashion', 'Food'})",frozenset({'Sports'}),0.052,0.4529616724738676,1.2817251626312043
"frozenset({'Beauty', 'Electronics'})",frozenset({'Sports'}),0.0554,0.44894651539708263,1.2703636542079306
"frozenset({'Beauty', 'Home & Garden'})",frozenset({'Sports'}),0.0506,0.4392361111111111,1.2428865622838459
"frozenset({'Beauty', 'Food'})",frozenset({'Sports'}),0.055,0.4372019077901431,1.2371304691288714
"frozenset({'Sports', 'Electronics'})",frozenset({'Beauty'}),0.0554,0.4355345911949685,1.24225496632906
"frozenset({'Fashion', 'Electronics'})",frozenset({'Sports'}),0.0502,0.43425605536332185,1.2287947237219068
"frozenset({'Toys', 'Sports'})",frozenset({'Beauty'}),0.0526,0.43327841845140036,1.2358197902207653
"frozenset({'Toys', 'Beauty'})",frozenset({'Sports'}),0.0526,0.43185550082101803,1.2220019830815452
"frozenset({'Home & Garden', 'Electronics'})",frozenset({'Sports'}),0.0504,0.4315068493150685,1.2210154196804428
"frozenset({'Toys', 'Sports'})",frozenset({'Food'}),0.0522,0.42998352553542013,1.2736478836949647
"frozenset({'Toys', 'Food'})",frozenset({'Sports'}),0.0522,0.42927631578947373,1.2147037798230722
"frozenset({'Sports', 'Food'})",frozenset({'Beauty'}),0.055,0.4283489096573209,1.2217595825936134
"frozenset({'Fashion', 'Sports'})",frozenset({'Beauty'}),0.0542,0.42812006319115326,1.2211068545098496
"frozenset({'Books', 'Home & Garden'})",frozenset({'Sports'}),0.0504,0.42784380305602715,1.2106502633164322
"frozenset({'Sports', 'Electronics'})",frozenset({'Food'}),0.054,0.4245283018867924,1.2574890458732002
"frozenset({'Sports', 'Food'})",frozenset({'Electronics'}),0.054,0.42056074766355145,1.253908013308144
"frozenset({'Beauty', 'Books'})",frozenset({'Sports'}),0.053,0.4199683042789223,1.1883653205402442
"frozenset({'Toys', 'Home & Garden'})",frozenset({'Sports'}),0.0504,0.4158415841584158,1.1766881272167964
"frozenset({'Toys', 'Sports'})",frozenset({'Home & Garden'}),0.0504,0.41515650741350907,1.2497185653627607
"frozenset({'Home & Garden', 'Sports'})",frozenset({'Beauty'}),0.0506,0.41407528641571195,1.1810475938839473
"frozenset({'Books', 'Sports'})",frozenset({'Beauty'}),0.053,0.412772585669782,1.1773319614083912
"frozenset({'Books', 'Electronics'})",frozenset({'Sports'}),0.0514,0.41252006420545745,1.167289372398012
"frozenset({'Home & Garden', 'Sports'})",frozenset({'Electronics'}),0.0504,0.41243862520458263,1.2296917865372172
"frozenset({'Home & Garden', 'Sports'})",frozenset({'Toys'}),0.0504,0.41243862520458263,1.2202326189484693
"frozenset({'Home & Garden', 'Sports'})",frozenset({'Books'}),0.0504,0.41243862520458263,1.1644229960603687
"frozenset({'Beauty', 'Sports'})",frozenset({'Electronics'}),0.0554,0.4115898959881129,1.2271612879788698
"frozenset({'Fashion', 'Sports'})",frozenset({'Food'}),0.052,0.4107424960505529,1.2166543129459506
"frozenset({'Beauty', 'Sports'})",frozenset({'Food'}),0.055,0.4086181277860327,1.210361752920713
"frozenset({'Books', 'Food'})",frozenset({'Sports'}),0.0506,0.4080645161290323,1.1546817094766053
"frozenset({'Sports', 'Food'})",frozenset({'Toys'}),0.0522,0.4065420560747664,1.2027871481501964
"frozenset({'Books', 'Food'})",frozenset({'Beauty'}),0.0504,0.4064516129032258,1.1593029461016138
"frozenset({'Sports', 'Food'})",frozenset({'Fashion'}),0.052,0.4049844236760125,1.2118025843088345
"frozenset({'Sports', 'Electronics'})",frozenset({'Books'}),0.0514,0.4040880503144654,1.140847121158852
"frozenset({'Beauty', 'Sports'})",frozenset({'Fashion'}),0.0542,0.4026745913818722,1.204891057396386
"frozenset({'Beauty', 'Food'})",frozenset({'Books'}),0.0504,0.40063593004769477,1.1311008753463996
"frozenset({'Books', 'Sports'})",frozenset({'Electronics'}),0.0514,0.4003115264797508,1.1935346645192333
"frozenset({'Beauty', 'Books'})",frozenset({'Food'}),0.0504,0.3993660855784469,1.1829564146281009
"frozenset({'Fashion', 'Sports'})",frozenset({'Electronics'}),0.0502,0.39652448657188,1.182243549707454
"frozenset({'Sports', 'Electronics'})",frozenset({'Home & Garden'}),0.0504,0.3962264150943396,1.192734542728295
"frozenset({'Sports', 'Electronics'})",frozenset({'Fashion'}),0.0502,0.39465408805031443,1.1808919450936997
"frozenset({'Books', 'Sports'})",frozenset({'Food'}),0.0506,0.39408099688473525,1.16730153105668
"frozenset({'Sports', 'Food'})",frozenset({'Books'}),0.0506,0.39408099688473525,1.1125945705384959
"frozenset({'Beauty', 'Sports'})",frozenset({'Books'}),0.053,0.3937592867756315,1.1116862980678472
"frozenset({'Books', 'Sports'})",frozenset({'Home & Garden'}),0.0504,0.39252336448598135,1.1815874909270963
"frozenset({'Beauty', 'Sports'})",frozenset({'Toys'}),0.0526,0.39078751857355126,1.1561760904542937
frozenset({'Beauty'}),frozenset({'Sports'}),0.1346,0.3839132915002852,1.0863420812118993
frozenset({'Sports'}),frozenset({'Beauty'}),0.1346,0.3808715336728919,1.0863420812118991
frozenset({'Food'}),frozenset({'Sports'}),0.1284,0.3803317535545023,1.0762075652362828
frozenset({'Electronics'}),frozenset({'Sports'}),0.1272,0.3792486583184258,1.0731427796220312
frozenset({'Fashion'}),frozenset({'Sports'}),0.1266,0.37881508078994613,1.0719159048951503
"frozenset({'Beauty', 'Sports'})",frozenset({'Home & Garden'}),0.0506,0.37592867756315007,1.1316335868848588
frozenset({'Food'}),frozenset({'Beauty'}),0.1258,0.3726303317535545,1.0628360860055746
frozenset({'Electronics'}),frozenset({'Books'}),0.1246,0.37149672033392966,1.0488332025237992
frozenset({'Electronics'}),frozenset({'Beauty'}),0.1234,0.36791890280262374,1.0493978973263653
frozenset({'Home & Garden'}),frozenset({'Sports'}),0.1222,0.36785069235400364,1.040890470724402
frozenset({'Food'}),frozenset({'Books'}),0.124,0.3672985781990521,1.036980740257064
frozenset({'Home & Garden'}),frozenset({'Toys'}),0.1212,0.36484045755568933,1.0794096377387257
frozenset({'Sports'}),frozenset({'Food'}),0.1284,0.3633276740237691,1.0762075652362828
frozenset({'Sports'}),frozenset({'Books'}),0.1284,0.3633276740237691,1.0257698306712848
frozenset({'Books'}),frozenset({'Sports'}),0.1284,0.362507058159232,1.0257698306712848
frozenset({'Toys'}),frozenset({'Beauty'}),0.1218,0.3603550295857988,1.027823815133482
frozenset({'Food'}),frozenset({'Toys'}),0.1216,0.36018957345971564,1.0656496256204604
frozenset({'Beauty'}),frozenset({'Books'}),0.1262,0.3599543639475185,1.0162460868083527
frozenset({'Sports'}),frozenset({'Electronics'}),0.1272,0.3599320882852292,1.0731427796220312
